                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.89477,                0.51919,                0.61326,                 0.6964,                 0.4944,                0.53397,                0.34661,                 0.9016,                0.53715,                0.62822,                0.00705,                0.00705,                0.00705
                    120,                0.89099,                0.51673,                0.61024,                0.69584,                0.50826,                0.53867,                 0.3525,                0.90355,                0.53492,                0.62679,               0.007025,               0.007025,               0.007025
                    121,                0.89429,                0.51792,                0.61432,                0.71574,                0.50199,                0.56014,                0.35791,                0.90451,                 0.5341,                0.62894,                  0.007,                  0.007,                  0.007
                    122,                0.88935,                0.51768,                0.61326,                0.75652,                0.46269,                0.53705,                0.34819,                0.90136,                0.53182,                0.62807,               0.006975,               0.006975,               0.006975
                    123,                0.88794,                0.51526,                0.61215,                0.73341,                0.49235,                0.55619,                0.35156,                0.90508,                0.52846,                0.62639,                0.00695,                0.00695,                0.00695
                    124,                0.88327,                0.50961,                0.60913,                0.77724,                0.48066,                 0.5539,                 0.3511,                0.91318,                0.53673,                0.62712,               0.006925,               0.006925,               0.006925
                    125,                0.88874,                0.51449,                0.60861,                0.70369,                0.51683,                0.56457,                0.36183,                0.91105,                0.53787,                0.62674,                 0.0069,                 0.0069,                 0.0069
                    126,                0.88812,                0.51329,                0.61016,                0.69502,                0.52878,                0.56007,                0.35871,                0.91011,                0.53548,                0.62657,               0.006875,               0.006875,               0.006875
                    127,                0.89137,                 0.5144,                0.61125,                0.72072,                0.51101,                0.55289,                0.35574,                0.90849,                0.53552,                0.62822,                0.00685,                0.00685,                0.00685
                    128,                 0.8766,                  0.505,                0.60879,                 0.6733,                 0.5068,                0.54286,                0.34576,                0.90565,                0.53389,                0.62929,               0.006825,               0.006825,               0.006825
                    129,                0.88049,                0.50926,                0.61141,                 0.6652,                0.52555,                0.53897,                0.34659,                0.90231,                 0.5393,                0.62586,                 0.0068,                 0.0068,                 0.0068
                    130,                 0.8769,                0.50742,                0.60965,                 0.7092,                0.51786,                0.56059,                0.35685,                0.90562,                0.53332,                0.62754,               0.006775,               0.006775,               0.006775
                    131,                0.87888,                0.50768,                 0.6099,                0.73835,                0.50559,                0.55431,                0.36127,                0.90529,                0.52826,                0.62829,                0.00675,                0.00675,                0.00675
                    132,                0.87737,                0.50712,                0.60814,                0.76175,                0.50275,                 0.5641,                0.36264,                0.90147,                0.52816,                 0.6243,               0.006725,               0.006725,               0.006725
                    133,                0.87168,                0.50281,                0.60923,                0.68474,                0.50726,                0.55251,                 0.3534,                0.89989,                  0.531,                0.62347,                 0.0067,                 0.0067,                 0.0067
                    134,                0.87766,                 0.5057,                0.61032,                 0.7023,                0.49406,                0.55683,                0.35959,                0.90048,                0.53323,                0.62449,               0.006675,               0.006675,               0.006675
                    135,                0.87743,                0.50581,                0.61006,                0.79521,                0.47503,                0.55552,                0.36698,                0.89631,                0.53016,                0.62513,                0.00665,                0.00665,                0.00665
                    136,                0.87534,                0.50653,                0.61213,                  0.698,                0.51234,                0.54672,                0.36236,                 0.9096,                0.53362,                0.63115,               0.006625,               0.006625,               0.006625
                    137,                0.86701,                0.49761,                0.60785,                0.75585,                0.49771,                0.55577,                0.36191,                0.90318,                 0.5294,                0.62772,                 0.0066,                 0.0066,                 0.0066
                    138,                0.87554,                0.50333,                0.60928,                0.72791,                 0.5092,                0.56778,                 0.3685,                0.89424,                0.52474,                0.62515,               0.006575,               0.006575,               0.006575
                    139,                0.87353,                0.50312,                0.61046,                0.69629,                0.51851,                0.55079,                0.36209,                0.89853,                0.53447,                0.62747,                0.00655,                0.00655,                0.00655
                    140,                  0.868,                0.50022,                0.60759,                0.70064,                0.50148,                0.54009,                0.35767,                0.89477,                0.53389,                0.62448,               0.006525,               0.006525,               0.006525
                    141,                0.86955,                 0.4981,                0.60847,                0.69001,                0.50106,                0.53798,                 0.3493,                0.89771,                0.53459,                 0.6282,                 0.0065,                 0.0065,                 0.0065
                    142,                 0.8611,                0.49827,                0.60884,                0.66392,                0.51988,                  0.547,                0.36148,                0.89401,                0.53652,                0.62655,               0.006475,               0.006475,               0.006475
                    143,                0.86972,                0.49675,                0.60775,                0.68734,                0.51739,                0.54896,                0.35823,                0.89745,                0.53611,                0.62751,                0.00645,                0.00645,                0.00645
                    144,                0.87418,                0.50027,                0.60805,                0.74123,                0.49787,                0.55417,                 0.3469,                0.89828,                0.53464,                0.62843,               0.006425,               0.006425,               0.006425
                    145,                0.86482,                0.49658,                0.60683,                0.74308,                0.51945,                0.56644,                0.35495,                0.89188,                0.53337,                0.62788,                 0.0064,                 0.0064,                 0.0064
                    146,                 0.8611,                0.49472,                0.60615,                0.73357,                0.50757,                0.56193,                0.35931,                0.89823,                0.53344,                 0.6303,               0.006375,               0.006375,               0.006375
                    147,                0.86376,                0.49723,                0.60811,                0.80013,                0.48561,                0.57118,                0.35028,                0.89762,                0.53399,                0.62685,                0.00635,                0.00635,                0.00635
                    148,                0.85797,                0.48993,                0.60539,                0.76423,                0.48521,                 0.5533,                0.34614,                0.89234,                0.52893,                0.62538,               0.006325,               0.006325,               0.006325
                    149,                0.85558,                 0.4892,                0.60491,                0.70913,                0.52689,                0.54542,                0.35296,                0.90057,                0.52545,                0.62867,                 0.0063,                 0.0063,                 0.0063
                    150,                0.84708,                0.48379,                0.60309,                0.72524,                0.52651,                0.55537,                0.35621,                0.89732,                0.52979,                0.62725,               0.006275,               0.006275,               0.006275
                    151,                0.85286,                0.48345,                0.60208,                0.70322,                0.50968,                0.54485,                0.34472,                 0.8957,                 0.5311,                0.62554,                0.00625,                0.00625,                0.00625
                    152,                0.86024,                0.49097,                0.60641,                0.66003,                0.52035,                0.53909,                0.34216,                 0.8967,                0.52948,                0.62758,               0.006225,               0.006225,               0.006225
                    153,                0.85292,                  0.489,                0.60424,                 0.7468,                0.50004,                0.55263,                0.35478,                0.89552,                0.52785,                0.62419,                 0.0062,                 0.0062,                 0.0062
                    154,                0.85243,                0.48902,                0.60244,                0.74945,                0.51611,                0.56385,                 0.3591,                0.89568,                0.52919,                0.62483,               0.006175,               0.006175,               0.006175
                    155,                0.85277,                0.48586,                0.60067,                0.69214,                  0.519,                 0.5513,                0.35519,                0.89694,                0.52445,                0.62422,                0.00615,                0.00615,                0.00615
                    156,                0.84438,                0.48107,                0.60002,                0.68603,                0.51641,                0.54655,                0.35031,                0.89705,                0.52273,                 0.6246,               0.006125,               0.006125,               0.006125
